epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1917.75,0.54362,2.87143,1.2011,0.56583,0.94908,0.76409,0.73679,0.18857,9200.06,0.61291,0.0059905,0.0059905,0.0059905
83,1941.47,0.55064,2.90374,1.20351,0.56324,0.94388,0.77088,0.74241,0.19139,9508.03,0.6139,0.005941,0.005941,0.005941
84,1965.12,0.54917,2.90141,1.19953,0.56991,0.93938,0.78316,0.75253,0.19547,9288.21,0.6143,0.0058915,0.0058915,0.0058915
85,1988.66,0.54475,2.88223,1.1984,0.56497,0.94352,0.76777,0.73377,0.20064,9264.51,0.61452,0.005842,0.005842,0.005842
86,2012.5,0.54813,2.8902,1.19917,0.57083,0.94408,0.79154,0.76429,0.1884,9158.34,0.61177,0.0057925,0.0057925,0.0057925
87,2036.15,0.53814,2.85509,1.19482,0.56978,0.94558,0.78768,0.74913,0.21038,9129.01,0.61442,0.005743,0.005743,0.005743
88,2060.06,0.54073,2.84858,1.19472,0.58788,0.94314,0.7924,0.75197,0.21193,8947.54,0.61551,0.0056935,0.0056935,0.0056935
89,2084.3,0.54484,2.89084,1.19846,0.58021,0.94147,0.78846,0.7621,0.18678,9112.85,0.61212,0.005644,0.005644,0.005644
90,2108.66,0.54539,2.87139,1.19947,0.57317,0.94008,0.7653,0.73372,0.20109,9285.36,0.61516,0.0055945,0.0055945,0.0055945
91,2132.85,0.5446,2.8748,1.20085,0.56751,0.94328,0.75431,0.73204,0.18156,9236.04,0.61177,0.005545,0.005545,0.005545
92,2157.41,0.54087,2.85962,1.19784,0.56923,0.94694,0.75074,0.7216,0.19385,9292.93,0.61402,0.0054955,0.0054955,0.0054955
93,2177.93,0.54472,2.87665,1.19935,0.57235,0.94417,0.7687,0.73172,0.20568,9228.51,0.61511,0.005446,0.005446,0.005446
94,2194.34,0.54478,2.86423,1.1988,0.57717,0.94346,0.78169,0.74599,0.2017,9195.34,0.61389,0.0053965,0.0053965,0.0053965
95,2210.1,0.54088,2.85922,1.19384,0.58074,0.94384,0.77401,0.74353,0.19137,9134.66,0.61041,0.005347,0.005347,0.005347
96,2226.12,0.54478,2.87296,1.1973,0.58582,0.94478,0.78005,0.75175,0.1872,9068.32,0.60927,0.0052975,0.0052975,0.0052975
97,2242.44,0.54043,2.81542,1.19727,0.5649,0.94788,0.76453,0.73634,0.19273,9260.71,0.61096,0.005248,0.005248,0.005248
98,2258.77,0.53883,2.81895,1.19696,0.56618,0.9494,0.75435,0.73064,0.18112,9303.32,0.60934,0.0051985,0.0051985,0.0051985
99,2275.32,0.53737,2.84006,1.19579,0.57279,0.94778,0.75411,0.72895,0.18572,9374.4,0.61035,0.005149,0.005149,0.005149
100,2291.69,0.5395,2.84144,1.19527,0.5658,0.94905,0.75021,0.72794,0.1809,9396.2,0.60883,0.0050995,0.0050995,0.0050995
101,2308.16,0.53614,2.83279,1.19434,0.56583,0.95089,0.76368,0.73975,0.18221,9412.28,0.60872,0.00505,0.00505,0.00505
102,2324.48,0.53802,2.83635,1.1917,0.5659,0.94843,0.76948,0.74798,0.17836,9377.22,0.60729,0.0050005,0.0050005,0.0050005
103,2340.75,0.53755,2.81973,1.19443,0.56933,0.94801,0.77599,0.75401,0.17843,9310.88,0.60809,0.004951,0.004951,0.004951
